EventCode,NTSyslogID,action
185,F185,failure
186,S186,success
186,F186,failure
187,S187,success
187,F187,failure
188,S188,success
188,F188,failure
189,S189,success
189,F189,failure
190,S190,success
190,F190,failure
191,S191,success
191,F191,failure
192,S192,success
192,F192,failure
193,S193,success
193,F193,failure
194,S194,success
194,F194,failure
195,S195,success
195,F195,failure
196,S196,success
196,F196,failure
197,S197,success
197,F197,failure
198,S198,success
198,F198,failure
199,S199,success
199,F199,failure
200,S200,success
200,F200,failure
201,S201,success
201,F201,failure
202,S202,success
202,F202,failure
203,S203,success
203,F203,failure
204,S204,success
204,F204,failure
205,S205,success
205,F205,failure
206,S206,success
206,F206,failure
207,S207,success
207,F207,failure
208,S208,success
208,F208,failure
209,S209,success
209,F209,failure
210,S210,success
210,F210,failure
211,S211,success
211,F211,failure
212,S212,success
212,F212,failure
213,S213,success
213,F213,failure
214,S214,success
214,F214,failure
215,S215,success
215,F215,failure
216,S216,success
216,F216,failure
217,S217,success
217,F217,failure
218,S218,success
218,F218,failure
219,S219,success
219,F219,failure
220,S220,success
220,F220,failure
221,S221,success
221,F221,failure
222,S222,success
222,F222,failure
223,S223,success
223,F223,failure
224,S224,success
224,F224,failure
225,S225,success
225,F225,failure
226,S226,success
226,F226,failure
227,S227,success
227,F227,failure
228,S228,success
228,F228,failure
229,S229,success
229,F229,failure
230,S230,success
230,F230,failure
231,S231,success
231,F231,failure
232,S232,success
232,F232,failure
233,S233,success
233,F233,failure
234,S234,success
234,F234,failure
235,S235,success
235,F235,failure
236,S236,success
236,F236,failure
237,S237,success
237,F237,failure
238,S238,success
238,F238,failure
239,S239,success
239,F239,failure
240,S240,success
240,F240,failure
241,S241,success
241,F241,failure
242,S242,success
242,F242,failure
243,S243,success
243,F243,failure
244,S244,success
244,F244,failure
245,S245,success
245,F245,failure
246,S246,success
246,F246,failure
247,S247,success
247,F247,failure
248,S248,success
248,F248,failure
249,S249,success
249,F249,failure
250,S250,success
250,F250,failure
251,S251,success
251,F251,failure
252,S252,success
252,F252,failure
253,S253,success
253,F253,failure
254,S254,success
254,F254,failure
255,S255,success
255,F255,failure
256,S256,success
256,F256,failure
257,S257,success
257,F257,failure
258,S258,success
258,F258,failure
259,S259,success
259,F259,failure
260,S260,success
260,F260,failure
261,S261,success
261,F261,failure
262,S262,success
262,F262,failure
263,S263,success
263,F263,failure
264,S264,success
264,F264,failure
265,S265,success
265,F265,failure
266,S266,success
266,F266,failure
267,S267,success
267,F267,failure
268,S268,success
268,F268,failure
269,S269,success
269,F269,failure
270,S270,success
270,F270,failure
271,S271,success
271,F271,failure
272,S272,success
272,F272,failure
273,S273,success
273,F273,failure
274,S274,success
274,F274,failure
275,S275,success
275,F275,failure
276,S276,success
276,F276,failure
277,S277,success
277,F277,failure
278,S278,success
278,F278,failure
279,S279,success
279,F279,failure
280,S280,success
280,F280,failure
281,S281,success
281,F281,failure
282,S282,success
282,F282,failure
283,S283,success
283,F283,failure
284,S284,success
284,F284,failure
285,S285,success
285,F285,failure
286,S286,success
286,F286,failure
287,S287,success
287,F287,failure
288,S288,success
288,F288,failure
289,S289,success
289,F289,failure
290,S290,success
290,F290,failure
291,S291,success
291,F291,failure
292,S292,success
292,F292,failure
293,S293,success
293,F293,failure
294,S294,success
294,F294,failure
295,S295,success
295,F295,failure
296,S296,success
296,F296,failure
297,S297,success
297,F297,failure
298,S298,success
298,F298,failure
299,S299,success
299,F299,failure
300,S300,success
300,F300,failure
301,S301,success
301,F301,failure
302,S302,success
302,F302,failure
303,S303,success
303,F303,failure
304,S304,success
304,F304,failure
305,S305,success
305,F305,failure
306,S306,success
306,F306,failure
307,S307,success
307,F307,failure
308,S308,success
308,F308,failure
309,S309,success
309,F309,failure
310,S310,success
310,F310,failure
311,S311,success
311,F311,failure
312,S312,success
312,F312,failure
313,S313,success
313,F313,failure
314,S314,success
314,F314,failure
315,S315,success
315,F315,failure
316,S316,success
316,F316,failure
317,S317,success
317,F317,failure
318,S318,success
318,F318,failure
319,S319,success
319,F319,failure
320,S320,success
320,F320,failure
321,S321,success
321,F321,failure
322,S322,success
322,F322,failure
323,S323,success
323,F323,failure
324,S324,success
324,F324,failure
325,S325,success
