asn,confidence,country,created_ts,feed_id,id,import_session_id,ip,is_public,itype,latitude,longitude,meta,modified_ts,org,owner_organization_id,rdns,resource_uri,source,status,tags,threatscore,type,value
17139,60,US,2015-02-02T05:09:49.461Z,112,8615779,,68.64.160.250,TRUE,bot_ip,40.6501,-73.9496,"{""severity"": ""high"", ""detail"": """"}",2015-02-02T05:09:49.461Z,Corporate Colocation,2,,/api/v2/intelligence/8615779/,TS MHN,active,"[{""source_user_id"": null, ""name"": """"}]",15,ip,68.64.160.250
3462,70,TW,2015-02-02T05:09:49.393Z,112,8615777,,36.225.45.148,TRUE,bot_ip,23.5,121,"{""severity"": ""high"", ""detail"": """"}",2015-02-02T05:09:49.393Z,"CHTD, Chunghwa Telecom Co., Ltd.",2,,/api/v2/intelligence/8615777/,TS MHN,active,"[{""source_user_id"": null, ""name"": """"}]",18,ip,36.225.45.148
4837,40,CN,2015-02-02T05:09:49.286Z,112,8615774,,27.202.199.159,TRUE,bot_ip,36.6683,116.9972,"{""severity"": ""high"", ""detail"": """"}",2015-02-02T05:09:49.286Z,China Unicom Shandong,2,,/api/v2/intelligence/8615774/,TS MHN,active,"[{""source_user_id"": null, ""name"": """"}]",10,ip,27.202.199.159
45899,80,VN,2015-02-02T05:09:49.280Z,112,8615773,,14.165.141.29,TRUE,bot_ip,21.0333,105.85,"{""severity"": ""high"", ""detail"": """"}",2015-02-02T05:09:49.280Z,Vietnam Posts and Telecommunications(VNPT),2,,/api/v2/intelligence/8615773/,TS MHN,active,"[{""source_user_id"": null, ""name"": """"}]",20,ip,14.165.141.29
18403,40,VN,2015-02-02T05:09:49.214Z,112,8615772,,58.186.187.166,TRUE,bot_ip,10.8142,106.6438,"{""severity"": ""high"", ""detail"": """"}",2015-02-02T05:09:49.214Z,FPT Telecom Company,2,,/api/v2/intelligence/8615772/,TS MHN,active,"[{""source_user_id"": null, ""name"": """"}]",10,ip,58.186.187.166
4837,40,CN,2015-02-02T05:09:49.208Z,112,8615771,,58.18.104.58,TRUE,bot_ip,40.6522,109.8222,"{""severity"": ""high"", ""detail"": """"}",2015-02-02T05:09:49.208Z,China Unicom Neimeng,2,,/api/v2/intelligence/8615771/,TS MHN,active,"[{""source_user_id"": null, ""name"": """"}]",10,ip,58.18.104.58
10439,45,US,2015-02-02T05:09:49.147Z,112,8615770,,71.6.216.41,TRUE,bot_ip,32.8073,-117.1324,"{""severity"": ""high"", ""detail"": """"}",2015-02-02T05:09:49.147Z,CariNet,2,,/api/v2/intelligence/8615770/,TS MHN,active,"[{""source_user_id"": null, ""name"": """"}]",12,ip,71.6.216.41
49902,45,RE,2015-02-02T05:09:49.143Z,112,8615769,,213.55.22.121,TRUE,bot_ip,-20.8667,55.4667,"{""severity"": ""high"", ""detail"": """"}",2015-02-02T05:09:49.143Z,Societe Reunionnaise Du Radiotelephone Scs,2,,/api/v2/intelligence/8615769/,TS MHN,active,"[{""source_user_id"": null, ""name"": """"}]",12,ip,213.55.22.121
17552,50,TH,2015-02-02T05:09:49.138Z,112,8615768,,171.98.99.131,TRUE,bot_ip,13.754,100.5014,"{""severity"": ""high"", ""detail"": """"}",2015-02-02T05:09:49.138Z,True Internet,2,,/api/v2/intelligence/8615768/,TS MHN,active,"[{""source_user_id"": null, ""name"": """"}]",13,ip,171.98.99.131
30036,65,US,2015-02-02T05:09:49.074Z,112,8615765,,173.22.54.119,TRUE,bot_ip,40.8133,-89.4087,"{""severity"": ""high"", ""detail"": """"}",2015-02-02T05:09:49.074Z,Mediacom Cable,2,,/api/v2/intelligence/8615765/,TS MHN,active,"[{""source_user_id"": null, ""name"": """"}]",17,ip,173.22.54.119
15732,55,ES,2015-02-02T05:09:49.072Z,112,8615764,,87.111.157.197,TRUE,bot_ip,41.4126,2.0188,"{""severity"": ""high"", ""detail"": """"}",2015-02-02T05:09:49.072Z,Iberbanda S.A.,2,,/api/v2/intelligence/8615764/,TS MHN,active,"[{""source_user_id"": null, ""name"": """"}]",14,ip,87.111.157.197
17897,35,CN,2015-02-02T05:09:49.066Z,112,8615763,,112.101.64.78,TRUE,bot_ip,45.75,126.65,"{""severity"": ""high"", ""detail"": """"}",2015-02-02T05:09:49.066Z,China Telecom HEILONGJIANG,2,,/api/v2/intelligence/8615763/,TS MHN,active,"[{""source_user_id"": null, ""name"": """"}]",9,ip,112.101.64.78
45899,70,VN,2015-02-02T05:09:48.998Z,112,8615761,,113.161.4.111,TRUE,bot_ip,13.0833,109.3,"{""severity"": ""high"", ""detail"": """"}",2015-02-02T05:09:48.998Z,Vietnam Posts and Telecommunications(VNPT),2,,/api/v2/intelligence/8615761/,TS MHN,active,"[{""source_user_id"": null, ""name"": """"}]",18,ip,113.161.4.111
45415,40,IN,2015-02-02T05:09:48.994Z,112,8615760,,115.69.242.13,TRUE,bot_ip,19.2,72.9667,"{""severity"": ""high"", ""detail"": """"}",2015-02-02T05:09:48.994Z,Vasai Cable Pvt. Ltd.,2,,/api/v2/intelligence/8615760/,TS MHN,active,"[{""source_user_id"": null, ""name"": """"}]",10,ip,115.69.242.13
7552,50,VN,2015-02-02T05:09:48.989Z,112,8615759,,116.98.89.174,TRUE,bot_ip,21.0333,105.85,"{""severity"": ""high"", ""detail"": """"}",2015-02-02T05:09:48.989Z,Viettel Corporation,2,,/api/v2/intelligence/8615759/,TS MHN,active,"[{""source_user_id"": null, ""name"": """"}]",13,ip,116.98.89.174
