confidence,dateAdded,id,ip,lastModified,ownerName,rating,webLink
85,2014-09-09T21:29:44Z,286508,87.248.244.72,2014-09-09T21:29:44Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=87.248.244.72&owner=Common+Community
85,2014-09-09T21:29:44Z,286507,188.226.255.127,2014-09-09T21:29:44Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=188.226.255.127&owner=Common+Community
85,2014-09-09T21:29:44Z,286506,184.106.64.151,2014-09-09T21:29:44Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=184.106.64.151&owner=Common+Community
85,2014-09-09T21:29:44Z,286505,130.153.198.148,2014-09-09T21:29:44Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=130.153.198.148&owner=Common+Community
85,2014-09-09T21:29:44Z,286504,108.166.70.44,2014-09-09T21:29:44Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=108.166.70.44&owner=Common+Community
85,2014-09-09T21:29:44Z,286503,92.222.46.165,2014-09-09T21:29:44Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=92.222.46.165&owner=Common+Community
85,2014-09-09T21:29:44Z,286502,80.94.160.129,2014-09-09T21:29:44Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=80.94.160.129&owner=Common+Community
80,2014-09-09T21:02:50Z,286490,95.141.37.158,2014-09-09T21:02:50Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=95.141.37.158&owner=Common+Community
90,2014-09-09T17:45:56Z,286401,191.101.13.196,2014-09-09T17:45:56Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=191.101.13.196&owner=Common+Community
90,2014-09-09T17:45:56Z,286400,191.101.13.198,2014-09-09T17:45:56Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=191.101.13.198&owner=Common+Community
90,2014-09-09T17:45:56Z,286399,191.101.13.200,2014-09-09T17:45:56Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=191.101.13.200&owner=Common+Community
90,2014-09-09T17:45:56Z,286398,191.101.13.201,2014-09-09T17:45:56Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=191.101.13.201&owner=Common+Community
90,2014-09-09T17:45:56Z,286397,191.101.13.202,2014-09-09T17:45:56Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=191.101.13.202&owner=Common+Community
90,2014-09-09T17:45:56Z,286396,5.31.72.115,2014-09-09T17:45:56Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=5.31.72.115&owner=Common+Community
90,2014-09-09T17:45:56Z,286395,191.101.13.140,2014-09-09T17:45:56Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=191.101.13.140&owner=Common+Community
90,2014-09-09T17:45:56Z,286394,191.101.13.139,2014-09-09T17:45:56Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=191.101.13.139&owner=Common+Community
90,2014-09-09T17:45:56Z,286393,194.58.101.31,2014-09-09T17:45:56Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=194.58.101.31&owner=Common+Community
90,2014-09-09T17:45:56Z,286392,194.58.101.38,2014-09-09T17:45:56Z,Common Community,4,https://app.threatconnect.com/tc/auth/indicators/details/address.xhtml?address=194.58.101.38&owner=Common+Community
